# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
508 1.07495 1.07302 1.07343 3.2214
509 1.07892 1.07698 1.07739 3.23329
510 1.0829 1.08094 1.08136 3.2452
511 1.08688 1.08491 1.08533 3.25713
512 1.09087 1.08889 1.08932 3.26907
513 1.09486 1.09287 1.0933 3.28104
514 1.09886 1.09686 1.0973 3.29302
515 1.10287 1.10086 1.1013 3.30503
516 1.10688 1.10486 1.10531 3.31705
517 1.1109 1.10887 1.10932 3.32909
518 1.11493 1.11288 1.11334 3.34115
519 1.11896 1.1169 1.11736 3.35323
520 1.123 1.12093 1.12139 3.36532
521 1.12705 1.12496 1.12543 3.37744
522 1.1311 1.129 1.12948 3.38958
523 1.13516 1.13305 1.13353 3.40173
524 1.13922 1.1371 1.13759 3.4139
525 1.14329 1.14116 1.14165 3.42609
526 1.14737 1.14522 1.14572 3.43831
527 1.15145 1.14929 1.14979 3.45054
528 1.15554 1.15337 1.15388 3.46278
529 1.15964 1.15745 1.15796 3.47505
530 1.16374 1.16154 1.16206 3.48734
531 1.16785 1.16564 1.16616 3.49964
532 1.17196 1.16974 1.17027 3.51197
533 1.17608 1.17385 1.17438 3.52431
534 1.18021 1.17796 1.1785 3.53667
535 1.18434 1.18208 1.18263 3.54905
536 1.18848 1.18621 1.18676 3.56145
537 1.19263 1.19034 1.1909 3.57387
538 1.19678 1.19448 1.19504 3.5863
539 1.20094 1.19863 1.19919 3.59876
540 1.2051 1.20278 1.20335 3.61123
541 1.20927 1.20694 1.20751 3.62372
542 1.21345 1.2111 1.21168 3.63623
543 1.21763 1.21527 1.21586 3.64876
544 1.22182 1.21945 1.22004 3.66131
545 1.22602 1.22363 1.22423 3.67388
546 1.23022 1.22782 1.22842 3.68647
547 1.23443 1.23201 1.23263 3.69907
548 1.23865 1.23622 1.23683 3.71169
549 1.24287 1.24042 1.24105 3.72434
550 1.24709 1.24464 1.24527 3.737
551 1.25133 1.24886 1.24949 3.74968
552 1.25557 1.25309 1.25372 3.76238
553 1.25981 1.25732 1.25796 3.77509
554 1.26406 1.26156 1.26221 3.78783
555 1.26832 1.2658 1.26646 3.80058
556 1.27259 1.27005 1.27072 3.81336
557 1.27686 1.27431 1.27498 3.82615
558 1.28113 1.27858 1.27925 3.83896
559 1.28542 1.28285 1.28353 3.85179
560 1.28971 1.28712 1.28781 3.86464
561 1.294 1.2914 1.2921 3.8775
562 1.2983 1.29569 1.29639 3.89039
563 1.30261 1.29999 1.30069 3.90329
564 1.30692 1.30429 1.305 3.91621
565 1.31124 1.3086 1.30931 3.92916
566 1.31557 1.31291 1.31363 3.94211
567 1.3199 1.31723 1.31796 3.95509
568 1.32424 1.32156 1.32229 3.96809
569 1.32859 1.32589 1.32663 3.9811
570 1.33294 1.33022 1.33098 3.99414
571 1.33729 1.33457 1.33533 4.00719
572 1.34166 1.33892 1.33968 4.02026
573 1.34603 1.34327 1.34405 4.03334
574 1.3504 1.34764 1.34841 4.04645
575 1.35478 1.352 1.35279 4.05957
576 1.35917 1.35638 1.35717 4.07272
577 1.36356 1.36076 1.36156 4.08588
578 1.36796 1.36514 1.36595 4.09906
579 1.37237 1.36954 1.37035 4.11225
580 1.37678 1.37393 1.37476 4.12547
581 1.3812 1.37834 1.37917 4.1387
582 1.38562 1.38275 1.38359 4.15196
583 1.39005 1.38717 1.38801 4.16523
584 1.39449 1.39159 1.39244 4.17851
585 1.39893 1.39602 1.39688 4.19182
586 1.40338 1.40045 1.40132 4.20515
587 1.40783 1.40489 1.40577 4.21849
588 1.41229 1.40934 1.41022 4.23185
589 1.41676 1.41379 1.41468 4.24523
590 1.42123 1.41825 1.41915 4.25863
591 1.42571 1.42271 1.42362 4.27204
592 1.43019 1.42718 1.4281 4.28548
593 1.43469 1.43166 1.43258 4.29893
594 1.43918 1.43614 1.43708 4.3124
595 1.44369 1.44063 1.44157 4.32589
596 1.4482 1.44512 1.44607 4.33939
597 1.45271 1.44962 1.45058 4.35292
598 1.45723 1.45413 1.4551 4.36646
